date,hour,lent,workingday
2017/7/1,0,17,0
2017/7/1,1,6,0
2017/7/1,2,4,0
2017/7/1,3,3,0
2017/7/1,4,4,0
2017/7/1,5,2,0
2017/7/1,6,13,0
2017/7/1,7,32,0
2017/7/1,8,57,0
2017/7/1,9,50,0
2017/7/1,10,40,0
2017/7/1,11,33,0
2017/7/1,12,60,0
2017/7/1,13,71,0
2017/7/1,14,64,0
2017/7/1,15,5,0
2017/7/1,16,17,0
2017/7/1,17,7,0
2017/7/1,18,15,0
2017/7/1,19,14,0
2017/7/1,20,33,0
2017/7/1,21,72,0
2017/7/1,22,27,0
2017/7/1,23,21,0
2017/7/2,0,33,0
2017/7/2,1,3,0
2017/7/2,2,4,0
2017/7/2,3,4,0
2017/7/2,4,0,0
2017/7/2,5,5,0
2017/7/2,6,13,0
2017/7/2,7,37,0
2017/7/2,8,51,0
2017/7/2,9,40,0
2017/7/2,10,25,0
2017/7/2,11,42,0
2017/7/2,12,64,0
2017/7/2,13,74,0
2017/7/2,14,70,0
2017/7/2,15,62,0
2017/7/2,16,84,0
2017/7/2,17,104,0
2017/7/2,18,113,0
2017/7/2,19,97,0
2017/7/2,20,90,0
2017/7/2,21,86,0
2017/7/2,22,47,0
2017/7/2,23,25,0
2017/7/3,0,18,1
2017/7/3,1,2,1
2017/7/3,2,1,1
2017/7/3,3,4,1
2017/7/3,4,0,1
2017/7/3,5,5,1
2017/7/3,6,19,1
2017/7/3,7,52,1
2017/7/3,8,96,1
2017/7/3,9,35,1
2017/7/3,10,32,1
2017/7/3,11,60,1
2017/7/3,12,78,1
2017/7/3,13,94,1
2017/7/3,14,10,1
2017/7/3,15,22,1
2017/7/3,16,64,1
2017/7/3,17,111,1
2017/7/3,18,100,1
2017/7/3,19,117,1
2017/7/3,20,88,1
2017/7/3,21,107,1
2017/7/3,22,65,1
2017/7/3,23,26,1
2017/7/4,0,20,1
2017/7/4,1,2,1
2017/7/4,2,1,1
2017/7/4,3,3,1
2017/7/4,4,2,1
2017/7/4,5,7,1
2017/7/4,6,11,1
2017/7/4,7,64,1
2017/7/4,8,86,1
2017/7/4,9,52,1
2017/7/4,10,50,1
2017/7/4,11,51,1
2017/7/4,12,70,1
2017/7/4,13,62,1
2017/7/4,14,51,1
2017/7/4,15,47,1
2017/7/4,16,11,1
2017/7/4,17,12,1
2017/7/4,18,63,1
2017/7/4,19,64,1
2017/7/4,20,82,1
2017/7/4,21,88,1
2017/7/4,22,62,1
2017/7/4,23,27,1
2017/7/5,0,11,1
2017/7/5,1,3,1
2017/7/5,2,4,1
2017/7/5,3,1,1
2017/7/5,4,0,1
2017/7/5,5,4,1
2017/7/5,6,18,1
2017/7/5,7,68,1
2017/7/5,8,71,1
2017/7/5,9,53,1
2017/7/5,10,30,1
2017/7/5,11,59,1
2017/7/5,12,69,1
2017/7/5,13,81,1
2017/7/5,14,60,1
2017/7/5,15,67,1
2017/7/5,16,73,1
2017/7/5,17,125,1
2017/7/5,18,115,1
2017/7/5,19,110,1
2017/7/5,20,73,1
2017/7/5,21,86,1
2017/7/5,22,67,1
2017/7/5,23,25,1
2017/7/6,0,11,1
2017/7/6,1,8,1
2017/7/6,2,7,1
2017/7/6,3,0,1
2017/7/6,4,0,1
2017/7/6,5,6,1
2017/7/6,6,14,1
2017/7/6,7,65,1
2017/7/6,8,67,1
2017/7/6,9,51,1
2017/7/6,10,26,1
2017/7/6,11,50,1
2017/7/6,12,74,1
2017/7/6,13,67,1
2017/7/6,14,54,1
2017/7/6,15,64,1
2017/7/6,16,81,1
2017/7/6,17,107,1
2017/7/6,18,114,1
2017/7/6,19,115,1
2017/7/6,20,95,1
2017/7/6,21,85,1
2017/7/6,22,51,1
2017/7/6,23,41,1
2017/7/7,0,27,1
2017/7/7,1,4,1
2017/7/7,2,1,1
2017/7/7,3,0,1
2017/7/7,4,1,1
2017/7/7,5,6,1
2017/7/7,6,11,1
2017/7/7,7,47,1
2017/7/7,8,76,1
2017/7/7,9,58,1
2017/7/7,10,48,1
2017/7/7,11,63,1
2017/7/7,12,82,1
2017/7/7,13,84,1
2017/7/7,14,57,1
2017/7/7,16,32,1
2017/7/7,17,3,1
2017/7/7,18,17,1
2017/7/7,19,17,1
2017/7/7,20,13,1
2017/7/7,21,35,1
2017/7/7,22,37,1
2017/7/7,23,29,1
2017/7/8,0,37,0
2017/7/8,1,14,0
2017/7/8,2,3,0
2017/7/8,3,2,0
2017/7/8,4,2,0
2017/7/8,5,6,0
2017/7/8,6,7,0
2017/7/8,7,26,0
2017/7/8,8,68,0
2017/7/8,9,54,0
2017/7/8,10,47,0
2017/7/8,11,47,0
2017/7/8,12,73,0
2017/7/8,13,67,0
2017/7/8,14,63,0
2017/7/8,15,57,0
2017/7/8,16,103,0
2017/7/8,17,84,0
2017/7/8,18,90,0
2017/7/8,19,10,0
2017/7/8,20,11,0
2017/7/8,21,50,0
2017/7/8,22,49,0
2017/7/8,23,14,0
2017/7/9,0,23,0
2017/7/9,1,5,0
2017/7/9,2,8,0
2017/7/9,3,4,0
2017/7/9,4,1,0
2017/7/9,5,2,0
2017/7/9,6,12,0
2017/7/9,7,18,0
2017/7/9,8,28,0
2017/7/9,9,42,0
2017/7/9,10,31,0
2017/7/9,11,39,0
2017/7/9,12,71,0
2017/7/9,13,65,0
2017/7/9,14,60,0
2017/7/9,15,13,0
2017/7/9,16,15,0
2017/7/9,17,59,0
2017/7/9,18,71,0
2017/7/9,19,81,0
2017/7/9,20,70,0
2017/7/9,21,58,0
2017/7/9,22,43,0
2017/7/9,23,30,0
2017/7/10,0,11,1
2017/7/10,1,7,1
2017/7/10,2,0,1
2017/7/10,3,1,1
2017/7/10,4,0,1
2017/7/10,5,3,1
2017/7/10,6,25,1
2017/7/10,7,43,1
2017/7/10,8,75,1
2017/7/10,9,45,1
2017/7/10,10,47,1
2017/7/10,11,50,1
2017/7/10,12,78,1
2017/7/10,13,76,1
2017/7/10,14,45,1
2017/7/10,15,26,1
2017/7/10,16,60,1
2017/7/10,17,91,1
2017/7/10,18,125,1
2017/7/10,19,117,1
2017/7/10,21,94,1
2017/7/10,22,52,1
2017/7/10,23,27,1
2017/7/11,0,33,1
2017/7/11,1,5,1
2017/7/11,2,12,1
2017/7/11,3,0,1
2017/7/11,4,0,1
2017/7/11,5,6,1
2017/7/11,6,13,1
2017/7/11,7,51,1
2017/7/11,8,75,1
2017/7/11,9,41,1
2017/7/11,10,35,1
2017/7/11,11,41,1
2017/7/11,12,77,1
2017/7/11,13,71,1
2017/7/11,14,48,1
2017/7/11,15,48,1
2017/7/11,16,83,1
2017/7/11,17,119,1
2017/7/11,18,119,1
2017/7/11,19,112,1
2017/7/11,20,65,1
2017/7/11,21,50,1
2017/7/11,22,47,1
2017/7/11,23,18,1
2017/7/12,0,8,1
2017/7/12,1,7,1
2017/7/12,2,1,1
2017/7/12,3,1,1
2017/7/12,4,0,1
2017/7/12,5,6,1
2017/7/12,6,15,1
2017/7/12,7,55,1
2017/7/12,8,72,1
2017/7/12,9,37,1
2017/7/12,10,41,1
2017/7/12,11,47,1
2017/7/12,12,63,1
2017/7/12,13,76,1
2017/7/12,14,49,1
2017/7/12,15,63,1
2017/7/12,16,82,1
2017/7/12,17,111,1
2017/7/12,18,102,1
2017/7/12,19,90,1
2017/7/12,20,55,1
2017/7/12,21,70,1
2017/7/12,22,34,1
2017/7/12,23,23,1
2017/7/13,0,6,1
2017/7/13,1,2,1
2017/7/13,2,4,1
2017/7/13,3,1,1
2017/7/13,4,0,1
2017/7/13,5,3,1
2017/7/13,6,13,1
2017/7/13,7,49,1
2017/7/13,8,71,1
2017/7/13,9,60,1
2017/7/13,10,38,1
2017/7/13,11,61,1
2017/7/13,12,59,1
2017/7/13,13,65,1
2017/7/13,14,47,1
2017/7/13,15,63,1
2017/7/13,16,71,1
2017/7/13,17,105,1
2017/7/13,18,101,1
2017/7/13,19,90,1
2017/7/13,20,103,1
2017/7/13,21,93,1
2017/7/13,22,58,1
2017/7/13,23,33,1
2017/7/14,0,13,1
2017/7/14,1,4,1
2017/7/14,2,4,1
2017/7/14,3,1,1
2017/7/14,4,1,1
2017/7/14,5,3,1
2017/7/14,6,15,1
2017/7/14,7,55,1
2017/7/14,8,57,1
2017/7/14,9,52,1
2017/7/14,10,39,1
2017/7/14,11,69,1
2017/7/14,12,59,1
2017/7/14,13,82,1
2017/7/14,14,66,1
2017/7/14,15,63,1
2017/7/14,16,72,1
2017/7/14,17,112,1
2017/7/14,18,97,1
2017/7/14,19,98,1
2017/7/14,20,97,1
2017/7/14,21,80,1
2017/7/14,22,55,1
2017/7/14,23,27,1
2017/7/15,0,22,0
2017/7/15,1,8,0
2017/7/15,2,7,0
2017/7/15,3,0,0
2017/7/15,4,6,0
2017/7/15,5,4,0
2017/7/15,7,36,0
2017/7/15,8,50,0
2017/7/15,9,58,0
2017/7/15,10,24,0
2017/7/15,11,37,0
2017/7/15,12,53,0
2017/7/15,13,75,0
2017/7/15,14,67,0
2017/7/15,15,64,0
2017/7/15,16,60,0
2017/7/15,17,112,0
2017/7/15,18,99,0
2017/7/15,19,93,0
2017/7/15,20,82,0
2017/7/15,21,97,0
2017/7/15,22,72,0
2017/7/15,23,32,0
2017/7/16,0,16,0
2017/7/16,1,12,0
2017/7/16,2,6,0
2017/7/16,3,1,0
2017/7/16,4,2,0
2017/7/16,5,1,0
2017/7/16,6,10,0
2017/7/16,7,18,0
2017/7/16,8,49,0
2017/7/16,9,44,0
2017/7/16,10,36,0
2017/7/16,11,30,0
2017/7/16,12,43,0
2017/7/16,13,70,0
2017/7/16,14,56,0
2017/7/16,15,83,0
2017/7/16,16,70,0
2017/7/16,17,116,0
2017/7/16,18,101,0
2017/7/16,19,94,0
2017/7/16,20,99,0
2017/7/16,21,58,0
2017/7/16,22,44,0
2017/7/16,23,27,0
2017/7/17,0,8,1
2017/7/17,1,5,1
2017/7/17,2,1,1
2017/7/17,3,0,1
2017/7/17,4,1,1
2017/7/17,5,5,1
2017/7/17,6,18,1
2017/7/17,7,58,1
2017/7/17,8,74,1
2017/7/17,9,41,1
2017/7/17,10,64,1
2017/7/17,11,51,1
2017/7/17,12,88,1
2017/7/17,13,67,1
2017/7/17,14,49,1
2017/7/17,15,63,1
2017/7/17,16,79,1
2017/7/17,17,104,1
2017/7/17,18,109,1
2017/7/17,19,86,1
2017/7/17,20,91,1
2017/7/17,21,94,1
2017/7/17,22,67,1
2017/7/17,23,26,1
2017/7/18,0,14,1
2017/7/18,1,3,1
2017/7/18,2,2,1
2017/7/18,3,3,1
2017/7/18,4,2,1
2017/7/18,5,2,1
2017/7/18,6,15,1
2017/7/18,7,57,1
2017/7/18,8,68,1
2017/7/18,9,30,1
2017/7/18,10,40,1
2017/7/18,11,51,1
2017/7/18,12,70,1
2017/7/18,13,78,1
2017/7/18,14,49,1
2017/7/18,15,56,1
2017/7/18,16,65,1
2017/7/18,17,117,1
2017/7/18,18,130,1
2017/7/18,19,85,1
2017/7/18,20,69,1
2017/7/18,21,71,1
2017/7/18,22,50,1
2017/7/18,23,23,1
2017/7/19,0,10,1
2017/7/19,1,7,1
2017/7/19,2,1,1
2017/7/19,3,2,1
2017/7/19,4,1,1
2017/7/19,5,6,1
2017/7/19,6,16,1
2017/7/19,7,70,1
2017/7/19,8,82,1
2017/7/19,9,43,1
2017/7/19,10,45,1
2017/7/19,11,41,1
2017/7/19,12,58,1
2017/7/19,13,60,1
2017/7/19,14,56,1
2017/7/19,15,55,1
2017/7/19,16,69,1
2017/7/19,17,92,1
2017/7/19,18,125,1
2017/7/19,19,104,1
2017/7/19,20,85,1
2017/7/19,21,82,1
2017/7/19,22,37,1
2017/7/19,23,23,1
2017/7/20,0,21,1
2017/7/20,1,6,1
2017/7/20,2,3,1
2017/7/20,3,0,1
2017/7/20,4,2,1
2017/7/20,5,3,1
2017/7/20,6,14,1
2017/7/20,7,48,1
2017/7/20,8,55,1
2017/7/20,9,44,1
2017/7/20,10,37,1
2017/7/20,11,48,1
2017/7/20,12,72,1
2017/7/20,13,59,1
2017/7/20,14,49,1
2017/7/20,15,56,1
2017/7/20,16,71,1
2017/7/20,17,89,1
2017/7/20,18,108,1
2017/7/20,19,85,1
2017/7/20,20,68,1
2017/7/20,21,83,1
2017/7/20,22,89,1
2017/7/21,0,10,1
2017/7/21,1,5,1
2017/7/21,2,1,1
2017/7/21,3,0,1
2017/7/21,4,4,1
2017/7/21,6,14,1
2017/7/21,7,65,1
2017/7/21,8,54,1
2017/7/21,9,54,1
2017/7/21,10,48,1
2017/7/21,11,62,1
2017/7/21,13,52,1
2017/7/21,15,60,1
2017/7/21,16,62,1
2017/7/21,17,107,1
2017/7/21,18,115,1
2017/7/21,19,130,1
2017/7/21,20,101,1
2017/7/21,21,101,1
2017/7/21,22,48,1
2017/7/21,23,23,1
2017/7/22,0,9,0
2017/7/22,1,7,0
2017/7/22,2,5,0
2017/7/22,3,3,0
2017/7/22,4,6,0
2017/7/22,5,2,0
2017/7/22,6,13,0
2017/7/22,7,22,0
2017/7/22,8,40,0
2017/7/22,9,53,0
2017/7/22,10,36,0
2017/7/22,11,40,0
2017/7/22,12,51,0
2017/7/22,13,82,0
2017/7/22,14,58,0
2017/7/22,15,50,0
2017/7/22,16,90,0
2017/7/22,17,97,0
2017/7/22,18,97,0
2017/7/22,19,84,0
2017/7/22,20,86,0
2017/7/22,21,61,0
2017/7/22,22,40,0
2017/7/22,23,33,0
2017/7/23,0,18,0
2017/7/23,1,13,0
2017/7/23,2,1,0
2017/7/23,3,3,0
2017/7/23,4,0,0
2017/7/23,5,3,0
2017/7/23,6,17,0
2017/7/23,7,17,0
2017/7/23,8,29,0
2017/7/23,9,36,0
2017/7/23,10,45,0
2017/7/23,11,41,0
2017/7/23,12,49,0
2017/7/23,13,51,0
2017/7/23,14,50,0
2017/7/23,15,46,0
2017/7/23,16,62,0
2017/7/23,17,6,0
2017/7/23,18,48,0
2017/7/23,19,79,0
2017/7/23,20,73,0
2017/7/23,21,51,0
2017/7/23,22,40,0
2017/7/23,23,18,0
2017/7/24,0,17,1
2017/7/24,1,6,1
2017/7/24,2,1,1
2017/7/24,3,4,1
2017/7/24,4,1,1
2017/7/24,5,1,1
2017/7/24,6,23,1
2017/7/24,7,61,1
2017/7/24,8,82,1
2017/7/24,9,40,1
2017/7/24,11,60,1
2017/7/24,12,65,1
2017/7/24,13,79,1
2017/7/24,14,45,1
2017/7/24,15,47,1
2017/7/24,16,73,1
2017/7/24,17,99,1
2017/7/24,18,128,1
2017/7/24,19,85,1
2017/7/24,20,90,1
2017/7/24,21,78,1
2017/7/24,22,52,1
2017/7/24,23,22,1
2017/7/25,0,16,1
2017/7/25,1,6,1
2017/7/25,2,2,1
2017/7/25,3,0,1
2017/7/25,4,0,1
2017/7/25,5,1,1
2017/7/25,6,17,1
2017/7/25,7,71,1
2017/7/25,8,62,1
2017/7/25,9,45,1
2017/7/25,10,47,1
2017/7/25,11,57,1
2017/7/25,12,84,1
2017/7/25,13,53,1
2017/7/25,14,56,1
2017/7/25,15,55,1
2017/7/25,16,72,1
2017/7/25,17,110,1
2017/7/25,19,86,1
2017/7/25,20,93,1
2017/7/25,21,85,1
2017/7/25,22,52,1
2017/7/26,0,11,1
2017/7/26,1,1,1
2017/7/26,3,0,1
2017/7/26,4,0,1
2017/7/26,5,3,1
2017/7/26,6,15,1
2017/7/26,7,61,1
2017/7/26,8,77,1
2017/7/26,9,53,1
2017/7/26,10,58,1
2017/7/26,11,32,1
2017/7/26,12,73,1
2017/7/26,13,47,1
2017/7/26,14,70,1
2017/7/26,15,56,1
2017/7/26,16,66,1
2017/7/26,17,112,1
2017/7/26,18,133,1
2017/7/26,19,110,1
2017/7/26,20,85,1
2017/7/26,21,75,1
2017/7/26,22,46,1
2017/7/26,23,14,1
2017/7/27,0,20,1
2017/7/27,1,8,1
2017/7/27,2,3,1
2017/7/27,3,1,1
2017/7/27,4,0,1
2017/7/27,5,1,1
2017/7/27,6,10,1
2017/7/27,7,66,1
2017/7/27,8,86,1
2017/7/27,9,55,1
2017/7/27,10,39,1
2017/7/27,11,45,1
2017/7/27,12,75,1
2017/7/27,13,63,1
2017/7/27,14,55,1
2017/7/27,15,52,1
2017/7/27,16,67,1
2017/7/27,17,86,1
2017/7/27,18,133,1
2017/7/27,19,122,1
2017/7/27,20,83,1
2017/7/27,21,95,1
2017/7/27,22,58,1
2017/7/27,23,21,1
2017/7/28,1,12,1
2017/7/28,2,2,1
2017/7/28,3,3,1
2017/7/28,4,0,1
2017/7/28,5,3,1
2017/7/28,6,13,1
2017/7/28,7,60,1
2017/7/28,8,55,1
2017/7/28,9,57,1
2017/7/28,10,46,1
2017/7/28,11,67,1
2017/7/28,12,81,1
2017/7/28,13,71,1
2017/7/28,14,50,1
2017/7/28,15,51,1
2017/7/28,16,65,1
2017/7/28,17,83,1
2017/7/28,18,117,1
2017/7/28,19,83,1
2017/7/28,20,114,1
2017/7/28,21,76,1
2017/7/28,22,33,1
2017/7/28,23,28,1
2017/7/29,0,12,0
2017/7/29,1,8,0
2017/7/29,2,3,0
2017/7/29,3,0,0
2017/7/29,4,2,0
2017/7/29,5,1,0
2017/7/29,6,3,0
2017/7/29,8,41,0
2017/7/29,9,41,0
2017/7/29,10,18,0
2017/7/29,11,16,0
2017/7/29,12,42,0
2017/7/29,13,50,0
2017/7/29,14,18,0
2017/7/29,15,12,0
2017/7/29,16,6,0
2017/7/29,17,10,0
2017/7/29,18,4,0
2017/7/29,19,4,0
2017/7/29,20,0,0
2017/7/29,21,0,0
2017/7/29,22,0,0
2017/7/29,23,0,0
2017/7/30,0,0,0
2017/7/30,1,0,0
2017/7/30,2,0,0
2017/7/30,3,0,0
2017/7/30,4,0,0
2017/7/30,5,0,0
2017/7/30,6,0,0
2017/7/30,7,0,0
2017/7/30,8,0,0
2017/7/30,9,1,0
2017/7/30,10,2,0
2017/7/30,11,18,0
2017/7/30,12,22,0
2017/7/30,13,51,0
2017/7/30,14,56,0
2017/7/30,15,51,0
2017/7/30,16,58,0
2017/7/30,17,65,0
2017/7/30,18,71,0
2017/7/30,19,57,0
2017/7/30,20,50,0
2017/7/30,21,39,0
2017/7/30,22,13,0
2017/7/30,23,11,0
2017/7/31,1,5,1
2017/7/31,2,2,1
2017/7/31,3,2,1
2017/7/31,4,0,1
2017/7/31,5,1,1
2017/7/31,6,3,1
2017/7/31,7,6,1
2017/7/31,8,37,1
2017/7/31,9,36,1
2017/7/31,10,29,1
2017/7/31,11,30,1
2017/7/31,12,57,1
2017/7/31,13,77,1
2017/7/31,14,53,1
2017/7/31,15,65,1
2017/7/31,16,92,1
2017/7/31,17,116,1
2017/7/31,18,118,1
2017/7/31,19,115,1
2017/7/31,20,73,1
2017/7/31,21,102,1
2017/7/31,22,56,1
2017/7/31,23,29,1
